地区,年份,人口出生率(‰),地方财政教育支出(亿元),全体居民人均消费支出(元),地区生产总值(亿元),地区生产总值指数(上年=100),医疗卫生机构床位数(万张),医疗卫生机构数(个),地方财政医疗卫生支出(亿元),医院病床使用率(%),每万人拥有卫生技术人员数(人),每万人医疗机构床位数(张),年末常住人口(万人),人口自然增长率(‰),人口死亡率(‰)
上海市,2021年,4.67,1039.47,48879.0,47059.4,108.7,16.04,6308.0,633.12,89.3,92.0,64.43,2489.0,-0.92,5.59
江苏省,2021年,5.65,2563.41,31451.0,119853.2,109.1,54.86,36448.0,1183.71,77.2,81.0,64.5,8505.0,-1.12,6.77
浙江省,2021年,6.9,2039.52,36668.0,76765.3,108.9,36.99,35120.0,908.04,79.9,89.0,56.56,6540.0,1.0,5.9
安徽省,2021年,8.05,1315.66,21911.0,43102.8,108.2,41.1,29554.0,732.0,70.7,71.0,67.24,6113.0,0.05,8.0
福建省,2021年,8.26,1079.81,28440.0,49602.6,108.3,22.38,28693.0,533.63,73.6,70.0,53.45,4187.0,1.98,6.28
江西省,2021年,8.34,1249.1,20290.0,29838.2,108.9,30.73,36764.0,643.27,76.2,68.0,68.03,4517.0,1.63,6.71
山东省,2021年,7.38,2411.09,22821.0,84838.0,108.5,67.39,85715.0,1092.72,75.3,84.0,66.27,10170.0,0.02,7.36
河南省,2021年,8.0,1786.41,18391.0,57806.9,105.9,72.13,78536.0,1018.59,80.1,77.0,72.99,9883.0,0.64,7.36
湖北省,2021年,6.98,1201.93,23846.0,50093.3,112.9,43.4,36529.0,706.33,78.9,78.0,74.44,5830.0,-0.88,7.86
湖南省,2021年,7.13,1373.63,22798.0,45751.9,107.6,53.27,55677.0,739.92,77.6,76.0,80.44,6622.0,-1.15,8.28
广东省,2021年,9.35,3796.69,31589.0,127577.4,108.3,58.9,57964.0,1857.1,74.3,69.0,46.43,12684.0,4.52,4.83
广西壮族自治区,2021年,9.68,1094.08,18088.0,25311.5,107.9,31.9,34112.0,613.75,81.6,78.0,63.34,5037.0,2.88,6.8
海南省,2021年,9.74,295.1,22242.0,6508.9,111.4,6.14,6277.0,194.17,68.3,79.0,60.2,1020.0,3.73,6.01
重庆市,2021年,6.49,794.95,24598.0,28092.5,108.4,24.07,21361.0,427.72,78.2,77.0,74.95,3212.0,-1.55,8.04
四川省,2021年,6.85,1733.04,21518.0,55131.3,108.3,66.2,80249.0,1044.14,82.2,80.0,79.08,8372.0,-1.89,8.74
贵州省,2021年,12.17,1129.35,17957.0,19921.3,108.3,29.69,29292.0,542.07,76.5,80.0,77.08,3852.0,4.98,7.19
云南省,2021年,9.35,1143.3,18851.0,27895.3,107.4,33.03,26885.0,725.99,78.5,81.0,70.42,4690.0,1.23,8.12
西藏自治区,2021年,14.17,259.13,15343.0,2145.1,107.0,1.97,6907.0,115.26,56.6,70.0,53.69,366.0,8.7,5.47
陕西省,2021年,7.89,1025.0,19347.0,30476.6,106.7,28.45,34971.0,565.72,72.4,93.0,71.96,3954.0,0.51,7.38
甘肃省,2021年,9.68,661.92,17456.0,10608.0,107.1,18.32,25759.0,390.38,69.6,81.0,73.56,2490.0,1.42,8.26
青海省,2021年,11.22,221.21,19020.0,3446.3,105.9,4.22,6408.0,176.33,66.6,87.0,70.96,594.0,4.31,6.91
宁夏回族自治区,2021年,11.62,200.01,20024.0,4666.5,106.9,4.12,4571.0,110.72,67.4,84.0,56.82,725.0,5.53,6.09
新疆维吾尔自治区,2021年,6.16,927.96,18961.0,16791.5,107.4,18.61,16970.0,445.02,73.6,77.0,71.89,2589.0,0.56,5.6
北京市,2020年,6.99,1138.29,38903.0,38503.6,101.4,12.7,10599.0,605.64,60.9,126.0,58.0,2189.0,1.8,5.19
天津市,2020年,5.99,442.91,28461.0,14230.8,101.5,6.83,5838.0,175.49,61.6,82.0,49.2,1387.0,0.07,5.92
河北省,2020年,8.16,1596.26,18037.0,36821.5,104.0,44.2,86939.0,817.27,70.8,70.0,59.2,7464.0,0.94,7.22
山西省,2020年,8.26,733.36,15733.0,18202.7,103.7,22.37,41140.0,433.55,65.9,77.0,64.1,3490.0,1.24,7.02
内蒙古自治区,2020年,7.2,642.17,19794.0,17623.4,100.3,16.21,24549.0,375.05,58.8,84.0,67.4,2403.0,-0.1,7.3
辽宁省,2020年,5.16,741.15,20672.0,25839.0,100.8,31.45,34131.0,413.52,62.2,74.0,73.8,4255.0,-3.43,8.59
吉林省,2020年,4.84,526.69,17318.0,12499.5,102.4,17.31,25616.0,300.2,61.1,88.0,71.9,2399.0,-2.97,7.81
黑龙江省,2020年,3.75,562.42,17056.0,14000.1,101.0,25.33,20461.0,401.19,48.3,76.0,79.5,3171.0,-4.48,8.23
上海市,2020年,5.02,1000.59,42536.0,41603.9,102.0,15.22,5897.0,545.06,85.3,86.0,61.2,2488.0,-0.56,5.58
江苏省,2020年,6.65,2406.53,26225.0,104566.6,103.8,53.5,35747.0,1007.47,76.1,79.0,63.1,8477.0,0.16,6.49
浙江省,2020年,7.13,1881.09,31295.0,67164.5,103.8,36.13,34400.0,838.85,77.9,85.0,56.0,6468.0,0.57,6.56
安徽省,2020年,9.45,1261.86,18877.0,38628.8,103.7,40.78,29391.0,761.62,72.4,68.0,66.8,6105.0,1.49,7.96
福建省,2020年,9.21,1031.57,25126.0,43682.0,103.2,21.68,28105.0,521.96,71.6,67.0,52.2,4161.0,2.97,6.24
江西省,2020年,9.48,1223.59,17955.0,25825.4,103.8,28.58,36716.0,642.36,75.7,63.0,63.3,4519.0,2.87,6.61
山东省,2020年,8.56,2283.84,20940.0,74355.9,103.6,64.69,84872.0,1045.5,71.0,80.0,63.7,10165.0,1.31,7.25
河南省,2020年,9.24,1882.56,16143.0,54160.6,101.1,66.72,74644.0,1085.39,78.1,71.0,67.1,9941.0,2.09,7.15
